Split the dataset: 2025-03-08 18:45:47
Number of train set: 456
Number of test set: 114

Training begin Time: 2025-03-08 18:45:55
Training begin Time: 2025-03-08 18:46:15
Epoch 1/80 | Train Loss: 0.3195 | Val Loss: 0.2914.
Epoch 2/80 | Train Loss: 0.2859 | Val Loss: 0.2832.
Epoch 3/80 | Train Loss: 0.2599 | Val Loss: 0.2678.
Epoch 4/80 | Train Loss: 0.2202 | Val Loss: 0.2859.
Epoch 5/80 | Train Loss: 0.1956 | Val Loss: 0.2796.
Epoch 6/80 | Train Loss: 0.1702 | Val Loss: 0.2854.
Epoch 7/80 | Train Loss: 0.1662 | Val Loss: 0.2906.
Epoch 8/80 | Train Loss: 0.1484 | Val Loss: 0.2722.
Epoch 9/80 | Train Loss: nan | Val Loss: nan.
Epoch 10/80 | Train Loss: nan | Val Loss: nan.
Epoch 11/80 | Train Loss: nan | Val Loss: nan.
Epoch 12/80 | Train Loss: nan | Val Loss: nan.
Epoch 13/80 | Train Loss: nan | Val Loss: nan.
Epoch 14/80 | Train Loss: nan | Val Loss: nan.
Epoch 15/80 | Train Loss: nan | Val Loss: nan.
Epoch 16/80 | Train Loss: nan | Val Loss: nan.
Epoch 17/80 | Train Loss: nan | Val Loss: nan.
Epoch 18/80 | Train Loss: nan | Val Loss: nan.
Epoch 19/80 | Train Loss: nan | Val Loss: nan.
Epoch 20/80 | Train Loss: nan | Val Loss: nan.
Epoch 21/80 | Train Loss: nan | Val Loss: nan.
Epoch 22/80 | Train Loss: nan | Val Loss: nan.
Epoch 23/80 | Train Loss: nan | Val Loss: nan.
Epoch 24/80 | Train Loss: nan | Val Loss: nan.
Epoch 25/80 | Train Loss: nan | Val Loss: nan.
Epoch 26/80 | Train Loss: nan | Val Loss: nan.
Epoch 27/80 | Train Loss: nan | Val Loss: nan.
Epoch 28/80 | Train Loss: nan | Val Loss: nan.
Epoch 29/80 | Train Loss: nan | Val Loss: nan.
Epoch 30/80 | Train Loss: nan | Val Loss: nan.
Epoch 31/80 | Train Loss: nan | Val Loss: nan.
Epoch 32/80 | Train Loss: nan | Val Loss: nan.
Epoch 33/80 | Train Loss: nan | Val Loss: nan.
Epoch 34/80 | Train Loss: nan | Val Loss: nan.
Epoch 35/80 | Train Loss: nan | Val Loss: nan.
Epoch 36/80 | Train Loss: nan | Val Loss: nan.
Epoch 37/80 | Train Loss: nan | Val Loss: nan.
Epoch 38/80 | Train Loss: nan | Val Loss: nan.
Now do the prediction: 2025-03-08 19:52:42
[Test Set] Pearson Correlation: 0.5697 (p=4.5273e-11).

Training begin Time: 2025-03-08 19:52:53
Epoch 1/80 | Train Loss: 0.3332 | Val Loss: 0.3174.
Epoch 2/80 | Train Loss: 0.2934 | Val Loss: 0.2829.
Epoch 3/80 | Train Loss: 0.2632 | Val Loss: 0.2760.
Epoch 4/80 | Train Loss: 0.2364 | Val Loss: 0.2804.
Epoch 5/80 | Train Loss: 0.2017 | Val Loss: 0.2948.
Epoch 6/80 | Train Loss: 0.1789 | Val Loss: 0.2775.
Epoch 7/80 | Train Loss: 0.1678 | Val Loss: 0.2829.
Epoch 8/80 | Train Loss: 0.1541 | Val Loss: 0.2791.
Epoch 9/80 | Train Loss: 0.1285 | Val Loss: 0.2641.
Epoch 10/80 | Train Loss: 0.1155 | Val Loss: 0.2699.
Epoch 11/80 | Train Loss: nan | Val Loss: nan.
Epoch 12/80 | Train Loss: nan | Val Loss: nan.
Epoch 13/80 | Train Loss: nan | Val Loss: nan.
Epoch 14/80 | Train Loss: nan | Val Loss: nan.
Epoch 15/80 | Train Loss: nan | Val Loss: nan.
Epoch 16/80 | Train Loss: nan | Val Loss: nan.
Epoch 17/80 | Train Loss: nan | Val Loss: nan.
Epoch 18/80 | Train Loss: nan | Val Loss: nan.
Epoch 19/80 | Train Loss: nan | Val Loss: nan.
Epoch 20/80 | Train Loss: nan | Val Loss: nan.
Epoch 21/80 | Train Loss: nan | Val Loss: nan.
Epoch 22/80 | Train Loss: nan | Val Loss: nan.
Epoch 23/80 | Train Loss: nan | Val Loss: nan.
Epoch 24/80 | Train Loss: nan | Val Loss: nan.
Epoch 25/80 | Train Loss: nan | Val Loss: nan.
Epoch 26/80 | Train Loss: nan | Val Loss: nan.
Epoch 27/80 | Train Loss: nan | Val Loss: nan.
Epoch 28/80 | Train Loss: nan | Val Loss: nan.
Epoch 29/80 | Train Loss: nan | Val Loss: nan.
Now do the prediction: 2025-03-08 20:44:11
[Test Set] Pearson Correlation: 0.6846 (p=6.2231e-17).

Split the dataset: 2025-03-09 01:52:27
Number of train set: 456
Number of test set: 114

Training begin Time: 2025-03-09 01:52:28
Epoch 1/80 | Train Loss: 0.3363 | Val Loss: 0.2929.
Epoch 2/80 | Train Loss: 0.3019 | Val Loss: 0.2602.
Epoch 3/80 | Train Loss: 0.2686 | Val Loss: 0.2547.
Epoch 4/80 | Train Loss: 0.2297 | Val Loss: 0.2811.
Epoch 5/80 | Train Loss: 0.2058 | Val Loss: 0.2553.
Epoch 6/80 | Train Loss: 0.1787 | Val Loss: 0.2749.
Epoch 7/80 | Train Loss: 0.1620 | Val Loss: 0.2388.
Epoch 8/80 | Train Loss: 0.1431 | Val Loss: 0.2606.
Epoch 9/80 | Train Loss: 0.1253 | Val Loss: 0.2675.
Epoch 10/80 | Train Loss: 0.1149 | Val Loss: 0.2663.
Epoch 11/80 | Train Loss: 0.0938 | Val Loss: 0.2917.
Epoch 12/80 | Train Loss: nan | Val Loss: nan.
Epoch 13/80 | Train Loss: nan | Val Loss: nan.
Epoch 14/80 | Train Loss: nan | Val Loss: nan.
Epoch 15/80 | Train Loss: nan | Val Loss: nan.
Epoch 16/80 | Train Loss: nan | Val Loss: nan.
Epoch 17/80 | Train Loss: nan | Val Loss: nan.
Epoch 18/80 | Train Loss: nan | Val Loss: nan.
Epoch 19/80 | Train Loss: nan | Val Loss: nan.
Epoch 20/80 | Train Loss: nan | Val Loss: nan.
Epoch 21/80 | Train Loss: nan | Val Loss: nan.
Epoch 22/80 | Train Loss: nan | Val Loss: nan.
Epoch 23/80 | Train Loss: nan | Val Loss: nan.
Epoch 24/80 | Train Loss: nan | Val Loss: nan.
Epoch 25/80 | Train Loss: nan | Val Loss: nan.
Epoch 26/80 | Train Loss: nan | Val Loss: nan.
Epoch 27/80 | Train Loss: nan | Val Loss: nan.
Epoch 28/80 | Train Loss: nan | Val Loss: nan.
Epoch 29/80 | Train Loss: nan | Val Loss: nan.
Epoch 30/80 | Train Loss: nan | Val Loss: nan.
Epoch 31/80 | Train Loss: nan | Val Loss: nan.
Epoch 32/80 | Train Loss: nan | Val Loss: nan.
Epoch 33/80 | Train Loss: nan | Val Loss: nan.
Epoch 34/80 | Train Loss: nan | Val Loss: nan.
Epoch 35/80 | Train Loss: nan | Val Loss: nan.
Epoch 36/80 | Train Loss: nan | Val Loss: nan.
Epoch 37/80 | Train Loss: nan | Val Loss: nan.
Epoch 38/80 | Train Loss: nan | Val Loss: nan.
Epoch 39/80 | Train Loss: nan | Val Loss: nan.
Epoch 40/80 | Train Loss: nan | Val Loss: nan.
Epoch 41/80 | Train Loss: nan | Val Loss: nan.
Epoch 42/80 | Train Loss: nan | Val Loss: nan.
Epoch 43/80 | Train Loss: nan | Val Loss: nan.
Epoch 44/80 | Train Loss: nan | Val Loss: nan.
Epoch 45/80 | Train Loss: nan | Val Loss: nan.
Epoch 46/80 | Train Loss: nan | Val Loss: nan.
Epoch 47/80 | Train Loss: nan | Val Loss: nan.
Epoch 48/80 | Train Loss: nan | Val Loss: nan.
Epoch 49/80 | Train Loss: nan | Val Loss: nan.
Epoch 50/80 | Train Loss: nan | Val Loss: nan.
Epoch 51/80 | Train Loss: nan | Val Loss: nan.
Epoch 52/80 | Train Loss: nan | Val Loss: nan.
Epoch 53/80 | Train Loss: nan | Val Loss: nan.
Epoch 54/80 | Train Loss: nan | Val Loss: nan.
Epoch 55/80 | Train Loss: nan | Val Loss: nan.
Epoch 56/80 | Train Loss: nan | Val Loss: nan.
Epoch 57/80 | Train Loss: nan | Val Loss: nan.
Epoch 58/80 | Train Loss: nan | Val Loss: nan.
Epoch 59/80 | Train Loss: nan | Val Loss: nan.
Epoch 60/80 | Train Loss: nan | Val Loss: nan.
Epoch 61/80 | Train Loss: nan | Val Loss: nan.
Epoch 62/80 | Train Loss: nan | Val Loss: nan.
Epoch 63/80 | Train Loss: nan | Val Loss: nan.
Epoch 64/80 | Train Loss: nan | Val Loss: nan.
Epoch 65/80 | Train Loss: nan | Val Loss: nan.
Epoch 66/80 | Train Loss: nan | Val Loss: nan.
Epoch 67/80 | Train Loss: nan | Val Loss: nan.
Epoch 68/80 | Train Loss: nan | Val Loss: nan.
Epoch 69/80 | Train Loss: nan | Val Loss: nan.
Epoch 70/80 | Train Loss: nan | Val Loss: nan.
Epoch 71/80 | Train Loss: nan | Val Loss: nan.
Epoch 72/80 | Train Loss: nan | Val Loss: nan.
Epoch 73/80 | Train Loss: nan | Val Loss: nan.
